Date,Open,High,Low,Close,Adj Close,Volume
2019-01-24,638.7000122070312,639.7999877929688,631.0999755859375,633.0999755859375,487.6753845214844,17107684
2019-01-25,639.4000244140625,640.5,634.7999877929688,638.0,491.4499816894531,15314566
2019-01-28,637.5999755859375,639.0,630.2000122070312,631.0999755859375,486.134765625,16599456
2019-01-29,639.0999755859375,644.9000244140625,636.7000122070312,642.0999755859375,494.6080627441406,24033341
2019-01-30,644.0,655.0,642.7000122070312,651.9000244140625,502.1571044921875,27115791
2019-01-31,647.7999877929688,648.7999877929688,636.2999877929688,638.9000244140625,492.14312744140625,28147734
2019-02-01,641.4000244140625,644.5999755859375,634.2000122070312,639.0,492.22015380859375,15819482
2019-02-04,638.2000122070312,641.2999877929688,636.7999877929688,640.0999755859375,493.06756591796875,13488590
2019-02-05,639.5,654.2000122070312,637.7000122070312,653.5,503.3895568847656,22267948
2019-02-06,650.5999755859375,656.0,647.7000122070312,650.5999755859375,501.1556091308594,15686534
2019-02-07,648.0999755859375,653.0999755859375,641.5,641.5,494.1459045410156,13145644
2019-02-08,645.2999877929688,648.5,640.7000122070312,641.9000244140625,494.4540710449219,15991535
2019-02-11,650.0,654.5999755859375,647.7999877929688,650.5,501.0785827636719,15734688
2019-02-12,655.2000122070312,658.0999755859375,651.7000122070312,653.5999755859375,503.4665222167969,13457507
2019-02-13,660.2000122070312,662.5,656.4000244140625,658.9000244140625,507.5491638183594,23896299
2019-02-14,664.0,665.5999755859375,659.0999755859375,660.9000244140625,509.0897216796875,19194317
2019-02-15,658.9000244140625,670.0,657.5,665.9000244140625,512.941162109375,23447343
2019-02-18,665.2000122070312,667.0,660.5999755859375,663.7000122070312,511.24658203125,17845002
2019-02-19,647.0,651.0,631.2000122070312,637.0999755859375,490.756591796875,59066774
2019-02-20,641.2000122070312,649.0,641.2000122070312,643.4000244140625,495.60955810546875,30842301
2019-02-21,635.5,637.0999755859375,623.0999755859375,623.0999755859375,492.1555480957031,38056393
2019-02-22,630.2000122070312,630.4000244140625,621.5999755859375,623.5,492.4715881347656,28282898
2019-02-25,624.0,625.5999755859375,619.4000244140625,621.5999755859375,490.970703125,30479531
